Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes
Havelock (Swaraj Dweep),Andaman,113,6350,South Andaman,Govind Nagar,None (partly marine park),Major,Beaches coral reefs diving,Occasional,23–31,3000,70–85,Renamed Swaraj Dweep in 2018
Neil (Shaheed Dweep),Andaman,13.7,3040,South Andaman,Neil Kendra,None (partly marine park),Moderate,Beaches eco-tourism,Occasional,23–31,2800,70–85,Renamed Shaheed Dweep in 2018
Baratang,Andaman,238,5700,North & Middle Andaman,Nilambur,Jarawa Reserve partly park,Moderate,Limestone caves mud volcano,Occasional,23–31,3000,70–85,Tribal reserve permit required
North Andaman,Andaman,1317,42000,North & Middle Andaman,Diglipur,None,Low/Moderate,Saddle Peak Ross & Smith,Occasional,22–30,3200,70–85,Largest Andaman island
Middle Andaman,Andaman,1536,55000,North & Middle Andaman,Rangat,None,Low/Moderate,Mangroves waterfalls,Occasional,22–30,3200,70–85,-
South Andaman,Andaman,1262,238000,South Andaman,Port Blair,None,Major,Capital Cellular Jail,Occasional,23–31,3000,70–85,Most populous
Barren Island,Andaman,8.34,0,North & Middle Andaman,None,Protected (volcano),Limited (by boat),Active volcano marine life,Rare,24–30,2800,70–85,Only active volcano in India
Ross Island (Netaji Subhas Chandra Bose),Andaman,0.31,0,South Andaman,None,Protected (heritage),Major (day trips),Ruins history deer,Rare,23–31,3000,70–85,Renamed in 2018
North Bay,Andaman,0.5,0,South Andaman,None,None,Major (day trips),Snorkeling coral reefs,Rare,23–31,3000,70–85,-
Jolly Buoy,Andaman,0.5,0,South Andaman,None,Mahatma Gandhi Marine NP,Major (day trips),Coral reefs snorkeling,Rare,23–31,3000,70–85,Permits required
Viper Island,Andaman,0.4,0,South Andaman,None,Protected (heritage),Major (day trips),Cellular Jail ruins history,Rare,23–31,3000,70–85,-
Red Skin Island,Andaman,0.5,0,South Andaman,None,Mahatma Gandhi Marine NP,Major (day trips),Coral reefs snorkeling,Rare,23–31,3000,70–85,Permits required
Cinque Island,Andaman,9.51,0,South Andaman,None,Mahatma Gandhi Marine NP,Limited (by boat),Coral reefs diving,Rare,23–31,3000,70–85,Permits required
Rutland Island,Andaman,109.3,0,South Andaman,None,None,Limited,Beaches forests,Rare,23–31,3000,70–85,-
Wandoor,Andaman,15.6,1200,South Andaman,Wandoor,None,Moderate,Beaches marine park gateway,Occasional,23–31,3000,70–85,-
Long Island,Andaman,18.1,2100,North & Middle Andaman,Long Island Village,None,Low,Beaches forests,Occasional,22–30,3200,70–85,-
Interview Island,Andaman,133,0,North & Middle Andaman,None,Wildlife Sanctuary,Limited,Wildlife forests,Rare,22–30,3200,70–85,-
Aves Island,Andaman,0.03,0,South Andaman,None,None,Limited,Small coral island,Rare,23–31,3000,70–85,-
Tarmugli Island,Andaman,1.26,0,South Andaman,None,None,Limited,Beaches forests,Rare,23–31,3000,70–85,-
Great Nicobar,Nicobar,1045,8500,Nicobar,Campbell Bay,Great Nicobar Biosphere Reserve,Low/Moderate,Indira Point rainforests,Occasional,22–30,3500,75–90,Southernmost point of India
Car Nicobar,Nicobar,126.9,29000,Nicobar,Car Nicobar,None,Low,Beaches coconut groves,Occasional,22–30,3500,75–90,Most populous Nicobar
Little Nicobar,Nicobar,159.1,430,Nicobar,Afra Bay,Great Nicobar Biosphere Reserve,Limited,Forests wildlife,Occasional,22–30,3500,75–90,-
Katchal,Nicobar,174.4,3400,Nicobar,Katchal,None,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Nancowry,Nicobar,66.9,1200,Nicobar,Nancowry,None,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Chowra,Nicobar,8.2,1500,Nicobar,Chowra,None,Low,Beaches traditional culture,Occasional,22–30,3500,75–90,-
Teressa,Nicobar,101.4,2100,Nicobar,Teressa,None,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Bompoka,Nicobar,13.3,0,Nicobar,None,None,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Pulomilo,Nicobar,1.3,0,Nicobar,None,None,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Meroe,Nicobar,0.52,0,Nicobar,None,None,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Tilangchong,Nicobar,16.84,0,Nicobar,None,None,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Kavaratti,Lakshadweep,4.22,11322,Lakshadweep,Kavaratti,None,Major,Capital beaches coral reefs,Occasional,25–32,1600,70–80,Administrative capital
Agatti,Lakshadweep,3.84,7560,Lakshadweep,Agatti,None,Major,Airport beaches diving,Occasional,25–32,1600,70–80,Only airport in Lakshadweep
Minicoy,Lakshadweep,4.8,10447,Lakshadweep,Minicoy,None,Major,Lighthouse beaches culture,Occasional,25–32,1600,70–80,Southernmost Lakshadweep
Kadmat,Lakshadweep,3.12,5379,Lakshadweep,Kadmat,None,Major,Beaches coral reefs,Occasional,25–32,1600,70–80,-
Amini,Lakshadweep,2.59,7340,Lakshadweep,Amini,None,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-
Andrott,Lakshadweep,4.84,10720,Lakshadweep,Andrott,None,Moderate,Beaches largest Lakshadweep,Occasional,25–32,1600,70–80,Largest inhabited island
Kalpeni,Lakshadweep,2.79,4419,Lakshadweep,Kalpeni,None,Moderate,Beaches coral reefs,Occasional,25–32,1600,70–80,-
Kiltan,Lakshadweep,1.63,3944,Lakshadweep,Kiltan,None,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-
Chetlat,Lakshadweep,1.14,2289,Lakshadweep,Chetlat,None,Low,Beaches small island,Occasional,25–32,1600,70–80,-
Bitra,Lakshadweep,0.105,271,Lakshadweep,Bitra,None,Low,Smallest inhabited island,Occasional,25–32,1600,70–80,Smallest inhabited
Bangaram,Lakshadweep,2.3,0,Lakshadweep,None,None,Major,Resort island diving,Occasional,25–32,1600,70–80,Uninhabited resort
Thinnakara,Lakshadweep,1.4,0,Lakshadweep,None,None,Major,Resort island beaches,Occasional,25–32,1600,70–80,Uninhabited resort
Vypin Island,Kerala,25,200000,Ernakulam,Vypin,None,Major,Beaches backwaters,Occasional,23–35,3000,70–85,Connected by bridges
Willingdon Island,Kerala,3.5,0,Ernakulam,None,None,Major,Port facilities,Occasional,23–35,3000,70–85,Artificial island port
Bolgatty Island,Kerala,0.2,0,Ernakulam,None,None,Major,Heritage hotel,Occasional,23–35,3000,70–85,Heritage resort
Munroe Island,Kerala,13.4,10000,Kollam,Munroe Island,None,Moderate,Backwaters village life,Occasional,23–35,3000,70–85,Backwater tourism
Pathiramanal Island,Kerala,0.28,0,Alappuzha,None,None,Major,Bird sanctuary,Occasional,23–35,3000,70–85,100 species of birds
Kumarakom Islands,Kerala,15,8000,Kottayam,Kumarakom,None,Major,Backwaters resorts,Occasional,23–35,3000,70–85,Backwater tourism hub
Chavara Thekkumbhagom,Kerala,2.5,1500,Kollam,Chavara,None,Moderate,Beaches backwaters,Occasional,23–35,3000,70–85,-
Poovar Island,Kerala,3.2,2000,Thiruvananthapuram,Poovar,None,Major,Golden beach floating cottages,Occasional,23–35,3000,70–85,River meets sea
Ezhumanthuruthu,Kerala,1.8,800,Kottayam,Ezhumanthuruthu,None,Moderate,Paddy fields village life,Occasional,23–35,3000,70–85,Model tourism village
Moolampilly,Kerala,2.1,1200,Ernakulam,Moolampilly,None,Moderate,Paddy fields mangroves,Occasional,23–35,3000,70–85,Kadamakkudy cluster
Ponnani Thuruthu,Kerala,1.5,500,Malappuram,Ponnani,None,Moderate,Estuary birdwatching,Occasional,23–35,3000,70–85,Ponnani Islands
Madakkal Island,Kerala,0.8,200,Kozhikode,Madakkal,None,Limited,Mangroves birdwatching,Occasional,23–35,3000,70–85,Kadalundi estuary
Rameswaram Island,Tamil Nadu,61.8,44856,Ramanathapuram,Rameswaram,None,Major,Temple beaches bridge,Occasional,23–35,1200,60–75,Sacred Hindu site
Srirangam Island,Tamil Nadu,13,81000,Tiruchirappalli,Srirangam,None,Major,Temple complex heritage,Occasional,23–35,1200,60–75,Sacred island temple
Kurusadai Island,Tamil Nadu,0.5,0,Ramanathapuram,None,Marine National Park,Limited,Coral reefs research station,Rare,23–35,1200,60–75,Gulf of Mannar
Quibble Island,Tamil Nadu,2.1,0,Chennai,None,None,Limited,Cemetery heritage,Occasional,23–35,1200,60–75,Colonial cemetery
Gulf of Mannar Islands,Tamil Nadu,10.8,0,Ramanathapuram,None,Marine National Park,Limited,Coral reefs biodiversity,Rare,23–35,1200,60–75,21 islands group
Pulicat Island,Tamil Nadu,15,5000,Tiruvallur,Pulicat,None,Moderate,Lake lagoon fishing,Occasional,23–35,1200,60–75,Second largest lagoon
Pamban Island,Tamil Nadu,67,50000,Ramanathapuram,Pamban,None,Major,Beaches fishing,Occasional,23–35,1200,60–75,Connected to mainland
Divar Island,Goa,5,1200,North Goa,Divar,None,Moderate,Portuguese heritage churches,Occasional,23–35,3000,70–85,Portuguese colonial heritage
Chorao Island,Goa,3.8,5000,North Goa,Chorao,None,Moderate,Mangroves bird sanctuary,Occasional,23–35,3000,70–85,Salim Ali Bird Sanctuary
St. Mary's Island,Karnataka,0.5,0,Udupi,None,None,Major,Beaches geology,Occasional,20–35,3000,70–85,Columnar basalt
Netrani Island,Karnataka,0.5,0,Uttara Kannada,None,None,Major,Diving destination,Rare,20–35,3000,70–85,Popular diving site
Kurumgad Island,Karnataka,0.3,0,Uttara Kannada,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Mangalore Port Island,Karnataka,2,0,Dakshina Kannada,None,None,Major,Port facilities,Occasional,20–35,3000,70–85,Port island
Panambur Island,Karnataka,1,0,Dakshina Kannada,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Tannirbavi Island,Karnataka,0.5,0,Dakshina Kannada,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Devgad Island,Maharashtra,0.5,0,Sindhudurg,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Vengurla Rocks,Maharashtra,0.2,0,Sindhudurg,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Malvan Island,Maharashtra,0.3,0,Sindhudurg,None,None,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Sindhudurg Fort Island,Maharashtra,0.5,0,Sindhudurg,None,None,Major,Historic fort,Occasional,20–35,3000,70–85,Historic island fort
Elephanta Island,Mumbai,16,1200,Mumbai Suburban,None,UNESCO World Heritage,Major,Cave temples history,Occasional,23–35,2500,60–80,Ancient cave temples
Butcher Island,Mumbai,0.5,0,Mumbai Suburban,None,None,Limited,Oil storage facility,Rare,23–35,2500,60–80,Industrial use
Cross Island,Mumbai,0.3,0,Mumbai Suburban,None,None,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Oyster Rock,Mumbai,0.1,0,Mumbai Suburban,None,None,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Middle Ground,Mumbai,0.2,0,Mumbai Suburban,None,None,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Salsette Island,Mumbai,619,15000000,Mumbai Suburban,Mumbai,None,Major,Metropolitan area,Occasional,23–35,2500,60–80,Most populous island
Sagar Island,West Bengal,300,212000,South 24 Parganas,Sagar,None,Major,Pilgrimage beaches,Occasional,20–35,1800,70–85,Ganga Sagar pilgrimage
Ghoramara Island,West Bengal,4.43,5000,South 24 Parganas,Ghoramara,None,Low,Disappearing island,Occasional,20–35,1800,70–85,Climate change impact
Lohachara Island,West Bengal,0.5,0,South 24 Parganas,None,None,None,Submerged island,Rare,20–35,1800,70–85,Completely submerged
New Moore Island,West Bengal,0.5,0,South 24 Parganas,None,None,None,Disputed territory,Rare,20–35,1800,70–85,India-Bangladesh dispute
Wheeler Island,Odisha,2,0,Bhadrak,None,None,Limited,Missile testing facility,Rare,20–35,1500,60–75,DRDO facility
Paradip Island,Odisha,15,50000,Jagatsinghpur,Paradip,None,Major,Port facilities,Occasional,20–35,1500,60–75,Major port
Hukitola Island,Odisha,8,0,Kendrapara,None,None,Limited,Wildlife sanctuary,Rare,20–35,1500,60–75,-
Bhitarkanika Island,Odisha,145,0,Kendrapara,None,Wildlife Sanctuary,Major,Mangroves crocodiles,Occasional,20–35,1500,60–75,Mangrove ecosystem
Bet Dwarka,Gujarat,8,5000,Devbhoomi Dwarka,Bet Dwarka,None,Major,Temple heritage,Occasional,20–35,600,50–70,Sacred Hindu site
Pirotan Island,Gujarat,3,0,Jamnagar,None,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Narara Island,Gujarat,2,0,Jamnagar,None,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Kadmat Island,Gujarat,1.5,0,Jamnagar,None,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Beyt Dwarka,Gujarat,0.5,0,Devbhoomi Dwarka,None,None,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Shiyal Bet,Gujarat,0.3,0,Amreli,None,None,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Piram Island,Gujarat,0.2,0,Bhavnagar,None,None,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Krishnapatnam Island,Andhra Pradesh,5,2000,Nellore,Krishnapatnam,None,Major,Port facilities,Occasional,23–35,1000,60–75,Major port
Bhavani Island,Andhra Pradesh,133,5000,Vijayawada,Bhavani Island,None,Major,Resort island,Occasional,23–35,1000,60–75,River island resort
Konaseema Islands,Andhra Pradesh,200,500000,East Godavari,Amalapuram,None,Major,River delta islands,Occasional,23–35,1000,60–75,River delta region
Hope Island,Andhra Pradesh,8,0,Krishna,None,None,Limited,Barrier island,Rare,23–35,1000,60–75,Barrier island
Vijaya Durga Island,Andhra Pradesh,2,0,Visakhapatnam,None,None,Limited,Small uninhabited,Rare,23–35,1000,60–75,-
Diu Island,Diu,40,52000,Diu,Diu,None,Major,Portuguese heritage beaches,Occasional,20–35,800,60–75,Portuguese colonial history
Majuli Island,Assam,880,167000,Jorhat,Majuli,None,Major,River island satras,Occasional,15–35,2500,70–85,World's largest river island
Umananda Island,Assam,0.02,0,Kamrup Metro,None,None,Major,Temple island,Occasional,15–35,2500,70–85,Peacock Island
Bhelaguri Island,Assam,2.5,800,Morigaon,Bhelaguri,None,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island
Ahotguri Island,Assam,1.8,500,Nagaon,Ahotguri,None,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island
Kamalabari Island,Assam,3.2,1200,Jorhat,Kamalabari,None,Moderate,Satra culture,Occasional,15–35,2500,70–85,Part of Majuli
Salmora Island,Assam,1.5,600,Jorhat,Salmora,None,Moderate,Pottery crafts,Occasional,15–35,2500,70–85,Part of Majuli
Raghopur Island,Bihar,15,8000,Vaishali,Raghopur,None,Moderate,River island agriculture,Occasional,15–35,1200,60–75,Harappan remains
Kahalgaon River Islands,Bihar,8,3000,Bhagalpur,Kahalgaon,None,Moderate,River islands mythology,Occasional,15–35,1200,60–75,Ganga mythology
Sultanganj & Ajgaivinath Island,Bihar,2,1500,Bhagalpur,Sultanganj,None,Major,Temple pilgrimage,Occasional,15–35,1200,60–75,Ajgaivinath Temple
Diara Islands,Bihar,50,25000,Multiple,Multiple,None,Moderate,Ganga floodplains,Occasional,15–35,1200,60–75,Shifting sandbars 
