Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes,Latitude,Longitude
Havelock (Swaraj Dweep),Andaman,113.0,6350,South Andaman,Govind Nagar,None (partly marine park),Major,Beaches coral reefs diving,Occasional,23–31,3000,70–85,Renamed Swaraj Dweep in 2018,11.9651954,92.9956211
Neil (Shaheed Dweep),Andaman,13.7,3040,South Andaman,Neil Kendra,None (partly marine park),Moderate,Beaches eco-tourism,Occasional,23–31,2800,70–85,Renamed Shaheed Dweep in 2018,11.8313739,93.0419302
Baratang,Andaman,238.0,5700,North & Middle Andaman,Nilambur,Jarawa Reserve partly park,Moderate,Limestone caves mud volcano,Occasional,23–31,3000,70–85,Tribal reserve permit required,12.1883182,92.8110351
North Andaman,Andaman,1317.0,42000,North & Middle Andaman,Diglipur,,Low/Moderate,Saddle Peak Ross & Smith,Occasional,22–30,3200,70–85,Largest Andaman island,13.2277143,92.9394925
Middle Andaman,Andaman,1536.0,55000,North & Middle Andaman,Rangat,,Low/Moderate,Mangroves waterfalls,Occasional,22–30,3200,70–85,-,12.6112387,92.8316541
South Andaman,Andaman,1262.0,238000,South Andaman,Port Blair,,Major,Capital Cellular Jail,Occasional,23–31,3000,70–85,Most populous,10.7056905,92.4874679
Barren Island,Andaman,8.34,0,North & Middle Andaman,,Protected (volcano),Limited (by boat),Active volcano marine life,Rare,24–30,2800,70–85,Only active volcano in India,12.2803466,93.863587
Ross Island (Netaji Subhas Chandra Bose),Andaman,0.31,0,South Andaman,,Protected (heritage),Major (day trips),Ruins history deer,Rare,23–31,3000,70–85,Renamed in 2018,11.6731,92.7697
North Bay,Andaman,0.5,0,South Andaman,,,Major (day trips),Snorkeling coral reefs,Rare,23–31,3000,70–85,-,11.6861,92.7702
Aves Island,Andaman,0.03,0,South Andaman,,,Limited,Small coral island,Rare,23–31,3000,70–85,-,11.6833,92.7167
